game_date,week,receiver_player_name,posteam,defteam,receiving_yards,complete_pass,pass_touchdown
2020-09-13,1,G.Kittle,SF,ARI,5.0,1.0,0.0
2020-09-13,1,G.Kittle,SF,ARI,11.0,1.0,0.0
2020-09-13,1,D.Hopkins,ARI,SF,3.0,1.0,0.0
2020-09-13,1,L.Fitzgerald,ARI,SF,7.0,1.0,0.0
2020-09-13,1,L.Fitzgerald,ARI,SF,,0.0,0.0
2020-09-13,1,L.Fitzgerald,ARI,SF,10.0,1.0,0.0
2020-09-13,1,R.Mostert,SF,ARI,76.0,1.0,1.0
2020-09-13,1,D.Hopkins,ARI,SF,1.0,1.0,0.0
2020-09-13,1,K.Drake,ARI,SF,2.0,1.0,0.0
2020-09-13,1,C.Kirk,ARI,SF,,0.0,0.0
2020-09-13,1,R.Mostert,SF,ARI,5.0,1.0,0.0
2020-09-13,1,T.Taylor,SF,ARI,,0.0,0.0
2020-09-13,1,C.Edmonds,ARI,SF,10.0,1.0,1.0
2020-09-13,1,G.Kittle,SF,ARI,14.0,1.0,0.0
2020-09-13,1,J.McKinnon,SF,ARI,,0.0,0.0
2020-09-13,1,C.Kirk,ARI,SF,,0.0,0.0
2020-09-13,1,L.Fitzgerald,ARI,SF,8.0,1.0,0.0
2020-09-13,1,G.Kittle,SF,ARI,14.0,1.0,0.0
2020-09-13,1,J.Reed,SF,ARI,10.0,1.0,0.0
2020-09-13,1,D.Hopkins,ARI,SF,,0.0,0.0
2020-09-13,1,D.Hopkins,ARI,SF,6.0,1.0,0.0
2020-09-13,1,M.Williams,ARI,SF,,0.0,0.0
2020-09-13,1,L.Fitzgerald,ARI,SF,9.0,1.0,0.0
2020-09-13,1,D.Hopkins,ARI,SF,12.0,1.0,0.0
2020-09-13,1,D.Hopkins,ARI,SF,15.0,1.0,0.0
2020-09-13,1,C.Edmonds,ARI,SF,5.0,1.0,0.0
2020-09-13,1,C.Edmonds,ARI,SF,,0.0,0.0
2020-09-13,1,K.Bourne,SF,ARI,18.0,1.0,0.0
2020-09-13,1,D.Pettis,SF,ARI,,0.0,0.0
2020-09-13,1,J.McKinnon,SF,ARI,,0.0,0.0
2020-09-13,1,D.Arnold,ARI,SF,13.0,1.0,0.0
2020-09-13,1,M.Williams,ARI,SF,,0.0,0.0
2020-09-13,1,J.McKinnon,SF,ARI,9.0,1.0,0.0
2020-09-13,1,J.McKinnon,SF,ARI,6.0,1.0,0.0
2020-09-13,1,G.Kittle,SF,ARI,,0.0,0.0
2020-09-13,1,T.Taylor,SF,ARI,2.0,1.0,0.0
2020-09-13,1,D.Hopkins,ARI,SF,12.0,1.0,0.0
2020-09-13,1,D.Hopkins,ARI,SF,5.0,1.0,0.0
2020-09-13,1,K.Drake,ARI,SF,3.0,1.0,0.0
2020-09-13,1,D.Hopkins,ARI,SF,9.0,1.0,0.0
2020-09-13,1,D.Hopkins,ARI,SF,12.0,1.0,0.0
2020-09-13,1,C.Kirk,ARI,SF,,0.0,0.0
2020-09-13,1,K.Bourne,SF,ARI,,0.0,0.0
2020-09-13,1,D.Arnold,ARI,SF,8.0,1.0,0.0
2020-09-13,1,D.Hopkins,ARI,SF,,0.0,0.0
2020-09-13,1,K.Bourne,SF,ARI,16.0,1.0,0.0
2020-09-13,1,T.Coleman,SF,ARI,,0.0,0.0
2020-09-13,1,C.Edmonds,ARI,SF,,0.0,0.0
2020-09-13,1,D.Hopkins,ARI,SF,7.0,1.0,0.0
2020-09-13,1,D.Hopkins,ARI,SF,18.0,1.0,0.0
2020-09-13,1,D.Hopkins,ARI,SF,7.0,1.0,0.0
2020-09-13,1,K.Juszczyk,SF,ARI,41.0,1.0,0.0
2020-09-13,1,K.Juszczyk,SF,ARI,,0.0,0.0
2020-09-13,1,R.Mostert,SF,ARI,,0.0,0.0
2020-09-13,1,K.Bourne,SF,ARI,,0.0,0.0
2020-09-13,1,J.McKinnon,SF,ARI,5.0,1.0,1.0
2020-09-13,1,C.Kirk,ARI,SF,,0.0,0.0
2020-09-13,1,D.Hopkins,ARI,SF,11.0,1.0,0.0
2020-09-13,1,C.Kirk,ARI,SF,0.0,1.0,0.0
2020-09-13,1,C.Edmonds,ARI,SF,4.0,1.0,0.0
2020-09-13,1,D.Hopkins,ARI,SF,33.0,1.0,0.0
2020-09-13,1,R.Mostert,SF,ARI,5.0,1.0,0.0
2020-09-13,1,T.Coleman,SF,ARI,6.0,1.0,0.0
2020-09-13,1,J.Reed,SF,ARI,2.0,1.0,0.0
2020-09-13,1,R.Mostert,SF,ARI,9.0,1.0,0.0
2020-09-13,1,K.Bourne,SF,ARI,,0.0,0.0
2020-09-13,1,T.Taylor,SF,ARI,5.0,1.0,0.0
2020-09-13,1,T.Taylor,SF,ARI,,0.0,0.0
2020-09-13,1,T.Taylor,SF,ARI,,0.0,0.0
2020-09-13,1,Q.Cephus,DET,CHI,,0.0,0.0
2020-09-13,1,J.Graham,CHI,DET,,0.0,0.0
2020-09-13,1,A.Robinson,CHI,DET,13.0,1.0,0.0
2020-09-13,1,A.Robinson,CHI,DET,12.0,1.0,0.0
2020-09-13,1,J.Graham,CHI,DET,,0.0,0.0
2020-09-13,1,J.Graham,CHI,DET,,0.0,0.0
2020-09-13,1,T.Ginn,CHI,DET,,0.0,0.0
2020-09-13,1,D.Amendola,DET,CHI,,0.0,0.0
2020-09-13,1,Q.Cephus,DET,CHI,20.0,1.0,0.0
2020-09-13,1,Q.Cephus,DET,CHI,,0.0,0.0
2020-09-13,1,Q.Cephus,DET,CHI,,0.0,0.0
2020-09-13,1,D.Montgomery,CHI,DET,10.0,1.0,0.0
2020-09-13,1,D.Mooney,CHI,DET,19.0,1.0,0.0
2020-09-13,1,A.Robinson,CHI,DET,,0.0,0.0
2020-09-13,1,A.Miller,CHI,DET,,0.0,0.0
2020-09-13,1,A.Peterson,DET,CHI,8.0,1.0,0.0
2020-09-13,1,D.Amendola,DET,CHI,11.0,1.0,0.0
2020-09-13,1,C.Patterson,CHI,DET,12.0,1.0,0.0
2020-09-13,1,A.Robinson,CHI,DET,,0.0,0.0
2020-09-13,1,A.Robinson,CHI,DET,,0.0,0.0
2020-09-13,1,M.Hall,DET,CHI,26.0,1.0,0.0
2020-09-13,1,T.Hockenson,DET,CHI,8.0,1.0,0.0
2020-09-13,1,D.Amendola,DET,CHI,,0.0,0.0
2020-09-13,1,D.Amendola,DET,CHI,18.0,1.0,0.0
2020-09-13,1,M.Hall,DET,CHI,,0.0,0.0
2020-09-13,1,M.Jones,DET,CHI,,0.0,0.0
2020-09-13,1,M.Jones,DET,CHI,21.0,1.0,0.0
2020-09-13,1,J.Agnew,DET,CHI,,0.0,0.0
2020-09-13,1,A.Robinson,CHI,DET,22.0,1.0,0.0
2020-09-13,1,D.Mooney,CHI,DET,19.0,1.0,0.0
2020-09-13,1,J.Graham,CHI,DET,,0.0,0.0
2020-09-13,1,C.Kmet,CHI,DET,,0.0,0.0
2020-09-13,1,M.Jones,DET,CHI,7.0,1.0,0.0
2020-09-13,1,T.Cohen,CHI,DET,3.0,1.0,0.0
2020-09-13,1,A.Miller,CHI,DET,,0.0,0.0
2020-09-13,1,J.Wims,CHI,DET,,0.0,0.0
2020-09-13,1,D.Swift,DET,CHI,7.0,1.0,0.0
2020-09-13,1,T.Hockenson,DET,CHI,16.0,1.0,0.0
2020-09-13,1,T.Hockenson,DET,CHI,24.0,1.0,0.0
2020-09-13,1,D.Amendola,DET,CHI,15.0,1.0,0.0
2020-09-13,1,Q.Cephus,DET,CHI,14.0,1.0,0.0
2020-09-13,1,M.Jones,DET,CHI,16.0,1.0,0.0
2020-09-13,1,T.Hockenson,DET,CHI,4.0,1.0,1.0
2020-09-13,1,D.Mooney,CHI,DET,0.0,1.0,0.0
2020-09-13,1,A.Peterson,DET,CHI,9.0,1.0,0.0
2020-09-13,1,M.Jones,DET,CHI,,0.0,0.0
2020-09-13,1,D.Montgomery,CHI,DET,,0.0,0.0
2020-09-13,1,A.Miller,CHI,DET,18.0,1.0,0.0
2020-09-13,1,A.Robinson,CHI,DET,22.0,1.0,0.0
2020-09-13,1,D.Harris,CHI,DET,,0.0,0.0
2020-09-13,1,T.Cohen,CHI,DET,3.0,1.0,0.0
2020-09-13,1,A.Robinson,CHI,DET,5.0,1.0,0.0
2020-09-13,1,D.Montgomery,CHI,DET,,0.0,0.0
2020-09-13,1,J.Graham,CHI,DET,2.0,1.0,1.0
2020-09-13,1,T.Hockenson,DET,CHI,4.0,1.0,0.0
2020-09-13,1,Q.Cephus,DET,CHI,9.0,1.0,0.0
2020-09-13,1,Q.Cephus,DET,CHI,,0.0,0.0
2020-09-13,1,D.Swift,DET,CHI,,0.0,0.0
2020-09-13,1,A.Robinson,CHI,DET,,0.0,0.0
2020-09-13,1,A.Peterson,DET,CHI,4.0,1.0,0.0
2020-09-13,1,Q.Cephus,DET,CHI,,0.0,0.0
2020-09-13,1,D.Swift,DET,CHI,5.0,1.0,0.0
2020-09-13,1,J.Graham,CHI,DET,7.0,1.0,0.0
2020-09-13,1,A.Miller,CHI,DET,18.0,1.0,0.0
2020-09-13,1,A.Miller,CHI,DET,13.0,1.0,0.0
2020-09-13,1,J.Graham,CHI,DET,16.0,1.0,0.0
2020-09-13,1,J.Wims,CHI,DET,1.0,1.0,1.0
2020-09-13,1,M.Jones,DET,CHI,,0.0,0.0
2020-09-13,1,A.Miller,CHI,DET,27.0,1.0,1.0
2020-09-13,1,M.Jones,DET,CHI,11.0,1.0,0.0
2020-09-13,1,Q.Cephus,DET,CHI,,0.0,0.0
2020-09-13,1,D.Amendola,DET,CHI,5.0,1.0,0.0
2020-09-13,1,D.Swift,DET,CHI,3.0,1.0,0.0
2020-09-13,1,Q.Cephus,DET,CHI,,0.0,0.0
2020-09-13,1,D.Amendola,DET,CHI,32.0,1.0,0.0
2020-09-13,1,D.Swift,DET,CHI,,0.0,0.0
2020-09-13,1,M.Jones,DET,CHI,,0.0,0.0
2020-09-13,1,H.Bryant,CLE,BAL,5.0,1.0,0.0
2020-09-13,1,N.Chubb,CLE,BAL,6.0,1.0,0.0
2020-09-13,1,K.Hunt,CLE,BAL,,0.0,0.0
2020-09-13,1,K.Hodge,CLE,BAL,,0.0,0.0
2020-09-13,1,D.Duvernay,BAL,CLE,12.0,1.0,0.0
2020-09-13,1,M.Andrews,BAL,CLE,5.0,1.0,1.0
2020-09-13,1,H.Bryant,CLE,BAL,,0.0,0.0
2020-09-13,1,J.Landry,CLE,BAL,16.0,1.0,0.0
2020-09-13,1,A.Hooper,CLE,BAL,6.0,1.0,0.0
2020-09-13,1,D.Njoku,CLE,BAL,1.0,1.0,1.0
2020-09-13,1,M.Brown,BAL,CLE,47.0,1.0,0.0
2020-09-13,1,J.Landry,CLE,BAL,8.0,1.0,0.0
2020-09-13,1,J.Landry,CLE,BAL,,0.0,0.0
2020-09-13,1,J.Landry,CLE,BAL,13.0,1.0,0.0
2020-09-13,1,A.Hooper,CLE,BAL,9.0,1.0,0.0
2020-09-13,1,O.Beckham,CLE,BAL,1.0,1.0,0.0
2020-09-13,1,O.Beckham,CLE,BAL,,0.0,0.0
2020-09-13,1,P.Ricard,BAL,CLE,9.0,1.0,0.0
2020-09-13,1,M.Boykin,BAL,CLE,25.0,1.0,0.0
2020-09-13,1,M.Brown,BAL,CLE,21.0,1.0,0.0
2020-09-13,1,M.Brown,BAL,CLE,4.0,1.0,0.0
2020-09-13,1,W.Snead,BAL,CLE,16.0,1.0,0.0
2020-09-13,1,O.Beckham,CLE,BAL,16.0,1.0,0.0
2020-09-13,1,D.Njoku,CLE,BAL,28.0,1.0,0.0
2020-09-13,1,K.Hunt,CLE,BAL,8.0,1.0,0.0
2020-09-13,1,O.Beckham,CLE,BAL,,0.0,0.0
2020-09-13,1,W.Snead,BAL,CLE,20.0,1.0,0.0
2020-09-13,1,M.Brown,BAL,CLE,13.0,1.0,0.0
2020-09-13,1,M.Brown,BAL,CLE,16.0,1.0,0.0
2020-09-13,1,M.Andrews,BAL,CLE,11.0,1.0,0.0
2020-09-13,1,M.Andrews,BAL,CLE,,0.0,0.0
2020-09-13,1,M.Boykin,BAL,CLE,,0.0,0.0
2020-09-13,1,M.Andrews,BAL,CLE,9.0,1.0,1.0
2020-09-13,1,N.Boyle,BAL,CLE,,0.0,0.0
2020-09-13,1,O.Beckham,CLE,BAL,,0.0,0.0
2020-09-13,1,K.Hunt,CLE,BAL,,0.0,0.0
2020-09-13,1,O.Beckham,CLE,BAL,,0.0,0.0
2020-09-13,1,O.Beckham,CLE,BAL,,0.0,0.0
2020-09-13,1,N.Boyle,BAL,CLE,4.0,1.0,0.0
2020-09-13,1,M.Andrews,BAL,CLE,21.0,1.0,0.0
2020-09-13,1,W.Snead,BAL,CLE,19.0,1.0,1.0
2020-09-13,1,J.Landry,CLE,BAL,20.0,1.0,0.0
2020-09-13,1,O.Beckham,CLE,BAL,5.0,1.0,0.0
2020-09-13,1,D.Njoku,CLE,BAL,21.0,1.0,0.0
2020-09-13,1,K.Hunt,CLE,BAL,3.0,1.0,0.0
2020-09-13,1,K.Hunt,CLE,BAL,-2.0,1.0,0.0
2020-09-13,1,K.Hodge,CLE,BAL,,0.0,0.0
2020-09-13,1,M.Andrews,BAL,CLE,12.0,1.0,0.0
2020-09-13,1,N.Boyle,BAL,CLE,-1.0,1.0,0.0
2020-09-13,1,M.Brown,BAL,CLE,,0.0,0.0
2020-09-13,1,J.Landry,CLE,BAL,4.0,1.0,0.0
2020-09-13,1,M.Boykin,BAL,CLE,2.0,1.0,0.0
2020-09-13,1,K.Hunt,CLE,BAL,0.0,1.0,0.0
2020-09-13,1,R.Higgins,CLE,BAL,9.0,1.0,0.0
2020-09-13,1,S.Carlson,CLE,BAL,,0.0,0.0
2020-09-13,1,O.Beckham,CLE,BAL,,0.0,0.0
2020-09-13,1,M.Boykin,BAL,CLE,10.0,1.0,0.0
2020-09-13,1,K.Hodge,CLE,BAL,12.0,1.0,0.0
2020-09-13,1,O.Beckham,CLE,BAL,,0.0,0.0
2020-09-13,1,W.Snead,BAL,CLE,9.0,1.0,0.0
2020-09-13,1,R.Woods,LA,DAL,20.0,1.0,0.0
2020-09-13,1,R.Woods,LA,DAL,31.0,1.0,0.0
2020-09-13,1,R.Woods,LA,DAL,9.0,1.0,0.0
2020-09-13,1,A.Cooper,DAL,LA,9.0,1.0,0.0
2020-09-13,1,E.Elliott,DAL,LA,10.0,1.0,0.0
2020-09-13,1,T.Pollard,DAL,LA,,0.0,0.0
2020-09-13,1,M.Brown,LA,DAL,18.0,1.0,0.0
2020-09-13,1,R.Woods,LA,DAL,,0.0,0.0
2020-09-13,1,M.Brown,LA,DAL,6.0,1.0,0.0
2020-09-13,1,C.Akers,LA,DAL,4.0,1.0,0.0
2020-09-13,1,C.Kupp,LA,DAL,8.0,1.0,0.0
2020-09-13,1,T.Higbee,LA,DAL,4.0,1.0,0.0
2020-09-13,1,R.Woods,LA,DAL,5.0,1.0,0.0
2020-09-13,1,M.Gallup,DAL,LA,24.0,1.0,0.0
2020-09-13,1,T.Pollard,DAL,LA,4.0,1.0,0.0
2020-09-13,1,A.Cooper,DAL,LA,5.0,1.0,0.0
2020-09-13,1,C.Lamb,DAL,LA,33.0,1.0,0.0
2020-09-13,1,A.Cooper,DAL,LA,6.0,1.0,0.0
2020-09-13,1,E.Elliott,DAL,LA,19.0,1.0,1.0
2020-09-13,1,G.Everett,LA,DAL,,0.0,0.0
2020-09-13,1,T.Higbee,LA,DAL,21.0,1.0,0.0
2020-09-13,1,C.Kupp,LA,DAL,11.0,1.0,0.0
2020-09-13,1,M.Brown,LA,DAL,,0.0,0.0
2020-09-13,1,C.Kupp,LA,DAL,,0.0,0.0
2020-09-13,1,C.Lamb,DAL,LA,3.0,1.0,0.0
2020-09-13,1,T.Pollard,DAL,LA,18.0,1.0,0.0
2020-09-13,1,E.Elliott,DAL,LA,,0.0,0.0
2020-09-13,1,C.Lamb,DAL,LA,,0.0,0.0
2020-09-13,1,V.Jefferson,LA,DAL,31.0,1.0,0.0
2020-09-13,1,A.Cooper,DAL,LA,9.0,1.0,0.0
2020-09-13,1,B.Jarwin,DAL,LA,12.0,1.0,0.0
2020-09-13,1,C.Lamb,DAL,LA,12.0,1.0,0.0
2020-09-13,1,M.Gallup,DAL,LA,14.0,1.0,0.0
2020-09-13,1,C.Lamb,DAL,LA,9.0,1.0,0.0
2020-09-13,1,D.Schultz,DAL,LA,11.0,1.0,0.0
2020-09-13,1,R.Woods,LA,DAL,10.0,1.0,0.0
2020-09-13,1,G.Everett,LA,DAL,7.0,1.0,0.0
2020-09-13,1,R.Woods,LA,DAL,30.0,1.0,0.0
2020-09-13,1,C.Kupp,LA,DAL,6.0,1.0,0.0
2020-09-13,1,J.Reynolds,LA,DAL,17.0,1.0,0.0
2020-09-13,1,M.Gallup,DAL,LA,12.0,1.0,0.0
2020-09-13,1,A.Cooper,DAL,LA,,0.0,0.0
2020-09-13,1,M.Gallup,DAL,LA,,0.0,0.0
